"Date","Price","Open","High","Low","Change %"
"Feb 10, 2009","131.06","136.20","136.48","130.29","-3.92%"
"Feb 09, 2009","136.41","135.69","137.38","133.58","0.12%"
"Feb 06, 2009","136.24","133.26","136.81","132.42","2.30%"
"Feb 05, 2009","133.18","129.47","135.62","128.41","3.14%"
"Feb 04, 2009","129.13","129.25","130.71","127.25","0.04%"
"Feb 03, 2009","129.08","127.75","129.34","126.66","1.04%"
"Feb 02, 2009","127.75","130.24","130.37","125.26","-2.08%"
"Jan 30, 2009","130.46","128.65","130.73","126.66","1.40%"
"Jan 29, 2009","128.66","128.49","129.44","126.45","0.12%"
"Jan 28, 2009","128.50","125.64","129.74","125.57","2.14%"
"Jan 27, 2009","125.81","124.43","127.70","124.19","1.18%"
"Jan 26, 2009","124.34","122.34","125.15","119.66","1.38%"
"Jan 23, 2009","122.65","123.18","123.85","118.80","-0.34%"
"Jan 22, 2009","123.07","125.04","125.37","121.07","-1.57%"
"Jan 21, 2009","125.03","124.81","126.22","119.36","0.01%"
"Jan 20, 2009","125.02","130.98","131.13","124.61","-4.67%"
"Jan 19, 2009","131.15","134.88","135.92","130.40","-1.97%"
"Jan 16, 2009","133.79","131.43","135.77","131.06","1.58%"
"Jan 15, 2009","131.71","130.00","132.07","129.05","1.42%"
"Jan 14, 2009","129.86","129.60","132.11","129.00","0.47%"
"Jan 13, 2009","129.25","132.06","132.62","128.77","-2.25%"
"Jan 12, 2009","132.23","136.51","136.62","131.70","-3.53%"
"Jan 09, 2009","137.07","138.78","140.11","136.50","-1.30%"
"Jan 08, 2009","138.88","140.12","140.31","137.24","-0.79%"
"Jan 07, 2009","139.99","139.76","141.60","137.90","-0.05%"
"Jan 06, 2009","140.06","137.17","140.92","135.40","2.05%"
"Jan 05, 2009","137.25","133.70","137.59","132.81","2.43%"
"Jan 02, 2009","134.00","132.60","134.50","131.34","0.99%"
"Jan 01, 2009","132.69","132.56","133.42","130.74","0.26%"
"Dec 31, 2008","132.34","129.99","133.33","129.90","1.53%"
"Dec 30, 2008","130.34","130.83","131.93","129.82","-0.70%"
"Dec 29, 2008","131.26","132.95","133.58","130.20","-1.22%"
"Dec 26, 2008","132.88","133.23","133.94","132.71","-0.65%"
"Dec 25, 2008","133.75","133.20","133.78","132.15","0.19%"
"Dec 24, 2008","133.50","133.88","134.12","132.53","-0.48%"
"Dec 23, 2008","134.15","133.74","134.45","132.84","0.31%"
"Dec 22, 2008","133.74","133.16","134.78","132.03","0.47%"
"Dec 19, 2008","133.12","134.30","135.94","132.27","-0.89%"
"Dec 18, 2008","134.32","135.32","138.18","133.60","-0.98%"
"Dec 17, 2008","135.65","138.64","139.13","134.83","-2.26%"
